fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,quality
7.0,0.27,0.36,18.8,0.045,45.0,6
6.3,0.3,0.34,1.6,0.049,14.0,6
8.1,0.28,0.4,6.9,0.05,30.0,6
7.2,0.23,0.32,8.5,0.057999999999999996,47.0,6
7.2,0.23,0.32,8.5,0.057999999999999996,47.0,6
8.1,0.28,0.4,6.9,0.05,30.0,6
6.2,0.32,0.16,7.0,0.045,30.0,6
7.0,0.27,0.36,18.8,0.045,45.0,6
6.3,0.3,0.34,1.6,0.049,14.0,6
8.1,0.22,0.43,1.5,0.044000000000000004,28.0,6
8.1,0.27,0.41,1.45,0.033,11.0,5
8.6,0.23,0.4,4.2,0.035,17.0,5
7.9,0.18,0.37,1.2,0.04,16.0,5
6.6,0.16,0.4,1.5,0.044000000000000004,48.0,7
8.3,0.42,0.62,18.8,0.04,41.0,5
6.6,0.17,0.38,1.5,0.032,28.0,7
6.3,0.48,0.1,1.1,0.046,30.0,6
6.2,0.63,0.48,1.2,0.028999999999999998,29.0,8
7.4,0.34,0.42,1.1,0.033,17.0,6
6.5,0.31,0.14,7.5,0.044000000000000004,34.0,5
6.2,0.63,0.48,1.2,0.028999999999999998,29.0,8
6.4,0.31,0.38,2.9,0.038,19.0,7
6.8,0.26,0.42,1.7,0.049,41.0,8
7.6,0.63,0.14,1.5,0.07400000000000001,25.0,5
6.6,0.27,0.41,1.3,0.052000000000000005,16.0,6
7.0,0.25,0.32,9.0,0.046,56.0,6
6.9,0.24,0.35,1.0,0.052000000000000005,35.0,6
7.0,0.28,0.39,8.7,0.051,32.0,6
7.4,0.27,0.48,1.1,0.047,17.0,6
7.2,0.32,0.36,2.0,0.033,37.0,7
8.5,0.24,0.39,10.4,0.044000000000000004,20.0,6
8.3,0.14,0.34,1.1,0.042,7.0,6
7.4,0.25,0.36,2.05,0.05,31.0,6
6.2,0.13,0.34,1.5,0.045,43.0,6
5.8,0.27,0.2,14.95,0.044000000000000004,22.0,5
7.3,0.28,0.43,1.7,0.08,21.0,5
6.5,0.39,0.23,5.4,0.051,25.0,5
7.0,0.33,0.32,1.2,0.053,38.0,6
7.3,0.24,0.39,17.95,0.057,45.0,5
7.3,0.24,0.39,17.95,0.057,45.0,5
6.7,0.23,0.39,2.5,0.16,63.0,6
6.7,0.24,0.39,2.9,0.16,63.0,6
7.0,0.31,0.26,7.4,0.069,28.0,6
6.6,0.24,0.27,1.4,0.057,33.0,6
6.7,0.23,0.26,1.4,0.06,33.0,6
7.4,0.18,0.31,1.4,0.057999999999999996,38.0,7
6.2,0.45,0.26,4.4,0.063,63.0,4
6.2,0.46,0.25,4.4,0.066,62.0,5
7.0,0.31,0.26,7.4,0.069,28.0,6
6.9,0.19,0.35,5.0,0.067,32.0,5
7.2,0.19,0.31,1.6,0.062,31.0,6
6.6,0.25,0.29,1.1,0.068,39.0,7
6.2,0.16,0.33,1.1,0.057,21.0,7
6.4,0.18,0.35,1.0,0.045,39.0,6
6.8,0.2,0.59,1.0,0.147,38.0,6
6.9,0.25,0.35,1.3,0.039,29.0,6
7.2,0.21,0.34,11.9,0.043,37.0,6
6.0,0.19,0.26,12.4,0.048,50.0,6
6.6,0.38,0.15,4.6,0.044000000000000004,25.0,6
7.4,0.2,0.36,1.2,0.038,44.0,6
6.8,0.22,0.24,4.9,0.092,30.0,6
6.0,0.19,0.26,12.4,0.048,50.0,6
7.0,0.47,0.1,1.1,0.035,17.0,5
6.6,0.38,0.15,4.6,0.044000000000000004,25.0,6
7.2,0.24,0.27,1.4,0.038,31.0,6
6.2,0.35,0.1,1.2,0.064,29.0,5
6.4,0.26,0.24,6.4,0.04,27.0,7
